name,family,dim,rms_J,prior_rmse_route1,prior_rmse_route2,rel_value_route1,rel_value_route2,rel_value_route2_direct,value_route2_crosscheck_delta,rel_prox_forward,rel_prox_inverse,psi_val_mse,G_val_mse
quadratic_l1_2D,quadratic_l1,2,4.382491382065863,0.0067444511007222,0.014511838990579428,0.0015389536482198242,0.0033113217404066382,0.0033113217404066382,0.0,0.01620745075956455,0.03475202838796256,5.996647814754397e-05,0.0001698431879049167
quadratic_l1_4D,quadratic_l1,4,8.454651134484738,0.010850480553707456,0.033275995807725854,0.0012833741311277333,0.0039358212749902935,0.0039358212749902935,0.0,0.018727779127644693,0.03895814620314694,0.00014695616846438497,0.0008572674705646932
quadratic_l1_8D,quadratic_l1,8,16.43846920697655,0.02074862627667377,0.08102385558339295,0.0012621994186580326,0.004928917319686076,0.004928917319686075,8.673617379884035e-19,0.021723686213648258,0.04822562211700007,0.0004936212790198624,0.003683107439428568
quadratic_l1_16D,quadratic_l1,16,32.374256683718166,0.19584353903170934,0.2843534315290625,0.006049360173579028,0.008783319237475221,0.008783319237475223,1.734723475976807e-18,0.04659087957338033,0.06215332770180721,0.007921780459582806,0.027081431820988655
quadratic_l1_32D,quadratic_l1,32,64.46430402100998,2.9668284848173436,5.066599298328179,0.04602281107154132,0.07859542385933292,0.07859542385933292,0.0,0.2516512947527049,0.13936341352226375,4.09136438369751,1.6597752571105957
quadratic_l1_64D,quadratic_l1,64,128.73591998367488,,25.96379349839361,,0.20168258790309732,0.20168258790309734,2.7755575615628914e-17,0.29668376483594344,0.27391271082412805,15.635753631591797,13.70861530303955
negl1_2D,negl1,2,4.382491382065863,0.21169035584056312,0.20833328698352901,0.04830365593115539,0.04753763757210693,0.04753763757210693,0.0,0.040034895459050916,0.03345170507987294,0.00016676471568644047,1.7517537344247103e-05
negl1_4D,negl1,4,8.454651134484738,0.3365104159710946,0.33594750354893144,0.03980180975162176,0.03973522954467896,0.039735229544678945,1.3877787807814457e-17,0.044442977276253605,0.05439465216057077,0.0008808092679828405,0.0001668416225584224
negl1_8D,negl1,8,16.43846920697655,0.6621328735130716,0.6479479400447077,0.040279472813202086,0.03941656196123883,0.03941656196123883,0.0,0.054409892017543406,0.10218451566084744,0.00463959900662303,0.0012140200706198812
negl1_16D,negl1,16,32.374256683718166,1.3549547916184113,1.355274005442518,0.04185284637901362,0.04186270649185653,0.041862706491856534,6.938893903907228e-18,0.06311947063017051,0.2027291231606438,0.0487653911113739,0.06423230469226837
negl1_32D,negl1,32,64.46430402100998,2.4658093096783413,2.1383781497026133,0.03825077067262982,0.03317150758357184,0.03317150758357184,0.0,0.09259245487467548,0.3461980428065037,0.5351518392562866,2.5637645721435547
negl1_64D,negl1,64,128.73591998367488,12.12848205140101,22.55731389347682,0.0942121053155874,0.17522160012790008,0.17522160012790008,0.0,0.14991974221224924,0.48387552982854154,6.85051965713501,6.234436988830566
concave_quad_2D,concave_quad,2,3.229086420942914,0.002364033052028497,0.0034275111483040295,0.000732105847863367,0.0010614491845353504,0.0010614491845353502,2.168404344971009e-19,0.0017398093802871608,0.007952604149980223,2.494055024726549e-06,5.873826466995524e-06
