name,dim,hidden,n_train,steps,query_halfwidth,train_halfwidth,invert_alpha_best,psi_val_mse,G_val_mse,prior_rmse_route1,prior_rmse_route2,route1_median_prox_residual,route2_median_prox_residual,route1_median_fy_gap,route2_median_fy_gap,route1_max_preimage_linf,route2_max_preimage_linf,route2_frac_query_uncovered,min_inner_weight,error
quadratic_l1_2D,2,256,20000,150000,4.0,5.0,0.0,0.00010267538164043799,0.0002405520062893629,0.008943065023384737,0.018428508395515592,0.0010686470356935734,0.008394806081276792,0.0007986650624900449,0.0005945303920924516,4.896782398223877,5.016831398010254,0.0,0.0,
quadratic_l1_4D,4,256,40000,150000,4.0,5.0,0.0,0.001110606361180544,0.0006341137923300266,0.030611736071430945,0.04257749800036635,0.0023736408733303228,0.01651342833514082,-0.006440034934477978,-0.0026044919324270666,5.191784858703613,5.27360725402832,0.03675,0.0,
quadratic_l1_8D,8,256,80000,150000,4.0,5.0,0.0,0.0013136251363903284,0.005844367668032646,0.03468878746940907,0.11215081152071649,0.0045661808655091465,0.038331595942424704,-0.062394422975351915,-0.017587263702363742,5.210170269012451,4.9196343421936035,0.102,0.0,
quadratic_l1_16D,16,256,160000,150000,4.0,5.0,0.0,0.069850854575634,0.09986918419599533,0.4948978558559506,0.7370737274810534,0.00369134845734298,0.0921161572867204,-0.622657273693136,-0.0022939956814056472,6.939477920532227,5.025774955749512,0.0,0.0,
