name,dim,hidden,n_train,steps,query_halfwidth,train_halfwidth,invert_alpha_best,psi_val_mse,G_val_mse,prior_rmse_route1,prior_rmse_route2,route1_median_prox_residual,route2_median_prox_residual,route1_median_fy_gap,route2_median_fy_gap,route1_max_preimage_linf,route2_max_preimage_linf,route2_frac_query_uncovered,min_inner_weight,error
quadratic_l1_2D,2,64,20000,150000,4.0,5.0,0.0,6.90916640451178e-05,0.00021917202684562653,0.0069229478945722666,0.016329925182233453,0.0006612212608090044,0.009567676811279494,0.00026035662957646366,0.0008177246831362339,4.916715145111084,5.040679931640625,0.0,0.0,
quadratic_l1_4D,4,64,40000,150000,4.0,5.0,0.0,0.0006281592650339007,0.001247341395355761,0.022719825205731983,0.04637935612806191,0.004321521601284909,0.023292887060867996,-0.009099926466447528,-0.0013378045389842441,5.000535488128662,4.9464826583862305,0.0,0.0,
quadratic_l1_8D,8,128,80000,150000,4.0,5.0,0.0,0.0018055918626487255,0.0066711981780827045,0.04318939914458542,0.11355665629108253,0.0060686885753028184,0.04150738495259807,-0.058245530829644565,-0.006188143915405675,5.203368663787842,4.975872039794922,0.0,0.0,
negl1_2D,2,64,20000,150000,4.0,4.0,0.0,0.0002465697762090713,5.800320650450885e-05,0.21913053257496362,0.2123726881205175,0.00010442204597028592,0.01674871684170178,0.000728676401606343,0.001291758516217989,2.9227397441864014,3.001126289367676,0.0,0.0,
negl1_4D,4,64,40000,150000,4.0,4.0,0.0,0.0018978703301399946,0.0007548005669377744,0.3648377136418929,0.3647854807527983,0.0040162244003044256,0.020878775411776036,-0.005552485085145165,-0.003386901982024071,2.9108834266662598,3.0351386070251465,0.0,0.0,
negl1_8D,8,128,80000,150000,4.0,4.0,0.0,0.022316886112093925,0.011590114794671535,0.7654825711868356,0.7837551067326753,0.004902120986147547,0.03843828074253916,0.01297960674093801,0.03331026123066927,3.0250937938690186,3.1410553455352783,0.0,0.0,
concave_quad_2D,2,64,20000,150000,4.0,4.0,0.0,2.471765583322849e-05,6.271663005463779e-05,0.00540608985114663,0.01034870556751543,0.0007024145360303221,0.013638461228726514,0.0005460669686727648,0.0008939003898315034,1.971418857574463,2.009239673614502,0.0,0.0,
concave_quad_4D,4,64,40000,150000,4.0,4.0,0.0,0.0010329789947718382,0.002584937959909439,0.0276398112761852,0.04243585751013048,0.004924770579349081,0.029870543644663447,-0.005125010699032373,-0.001095280562628087,1.9896973371505737,2.0633301734924316,0.0,0.0,
concave_quad_8D,8,128,80000,150000,4.0,4.0,0.1,0.021012136712670326,0.03294365853071213,0.10551344232430653,0.2018766949956777,0.05166714990900931,0.06631462243526692,-0.004737466297669357,0.019134794238466313,1.9328936338424683,2.1311984062194824,0.0,0.0,
minplus_2D,2,64,20000,150000,4.0,9.0,0.0,0.00013931280409451574,0.00011486185394460335,0.016880074502534856,0.01573817022451502,7.874851252919627e-06,0.0056026351909269695,0.0015836803243258757,0.0014385888083996434,8.465620040893555,8.940221786499023,0.0,0.0,
minplus_4D,4,64,40000,150000,4.0,9.0,0.0,0.004084802698343992,0.003411204321309924,0.05622079680802665,0.05384996137688427,0.0014672981926523868,0.016999547968672944,-0.007485257443310189,-0.0029584559820499123,8.35859203338623,8.790715217590332,0.0,0.0,
minplus_8D,8,128,80000,150000,4.0,9.0,0.0,0.07412207126617432,0.09524071961641312,0.2318989830685859,0.21909274535289877,0.006879895308380855,0.0358480231937062,-0.06470637638806664,-0.015994256629014103,8.388887405395508,9.036636352539062,0.0,0.0,
