sampler,d,K,sup_err,rms_err,mean_err
tangent,2,128,0.1380052772620875,0.013892223003651958,0.00435141871855145
tangent,2,256,0.10125966463284745,0.007697274946944442,0.001680057058528811
tangent,2,512,0.11949017482411965,0.006939570809125935,0.0011392080088299835
tangent,2,1024,0.028077951667340284,0.002120143845058963,0.00038829183567163007
tangent,2,2048,0.01760519906188851,0.0014176205248584504,0.00025226473821908117
tangent,2,4096,0.01721554393327579,0.00100371320409328,0.00015623800185683923
tangent,4,4,11.26866033125206,3.9530517481014007,3.076727186440994
tangent,4,8,10.420824390062968,2.716116664340558,1.9832939528196223
tangent,4,16,6.619182586006726,1.1551326297668436,0.7071245352500536
tangent,4,32,3.950260096126682,0.8321925245673342,0.4960471994983918
tangent,4,64,3.2825985794041808,0.4787660651151243,0.23159471159267622
tangent,4,128,0.8541361015311395,0.14038162865678713,0.07763843280849361
tangent,4,256,0.57152642813959,0.0875582612697618,0.042400952414465835
tangent,4,512,0.45739277051424,0.05274132525092697,0.02374541478327058
tangent,4,1024,0.3086364774248209,0.032654165026213045,0.012690710719104378
tangent,4,2048,0.22061142686762525,0.02229389506149711,0.008045592629980171
tangent,4,4096,0.17732994631573706,0.012582439009628027,0.004185549816903169
tangent,8,4,24.035383585335985,9.980655870336458,9.131894668657793
tangent,8,8,22.21002948128635,8.92074369310803,7.8788574018494435
tangent,8,16,18.252963839068777,6.399046556450094,5.668687134943385
tangent,8,32,13.386208092399672,4.642689895893901,3.995093316196806
tangent,8,64,10.939180979588953,3.4639014092214455,2.918907522257636
tangent,8,128,8.497163282491188,2.3814934172000326,1.9347861664012627
tangent,8,256,7.702454572588401,1.7082610512782224,1.3365051886387582
tangent,8,512,5.981587298116983,1.0681229709133198,0.8106029977601599
tangent,8,1024,5.969732766241471,0.6434187659514852,0.4649178640580415
tangent,8,2048,2.393522949503801,0.38436694050563514,0.2847347970032832
tangent,8,4096,1.0904086658551648,0.24170554464246025,0.17428399957859678
tangent,16,4,44.30026644056141,23.369369054016488,22.42251715654665
