recovered prior,resid_rel_median_pct,resid_rel_p90_pct,ratio_to_delta,cost
LPN Iterative recovery  [tripwire],12.914865911283263,59.65818905310532,5.89719678025677,3.1 s (inversion)
One-shot recovery,13.365204242658907,63.940946599548965,6.102830642509605,0.01 s (fwd)
Direct fit,8.071239941064995,21.190625465995854,3.685496273836177,0.01 s (fwd)
