method,PSNR vs clean (dB),SSIM vs clean,PSNR vs u_PM (dB),SSIM vs u_PM,rel-L2 vs u_PM (%),time (s),note
noisy input,22.49863929645887,0.4110111964775004,,,,0.0,sigma = 0.0781
u_PM  (MCMC sampler),27.322467619173224,0.7150943242458215,,,,0.0035829544067382812,"ground truth, m=8000"
"u_theta = grad psi  [LPN, both recoveries]",26.98349923443487,0.7068150797431346,42.737013286162,0.9964406891586307,1.393486841812648,0.002789020538330078,"1 forward pass, no inversion"
"prox of J_2, One-shot recovery",26.84186172529901,0.7045654248629435,40.91283159270187,0.9953698092932255,1.719142816434402,0.31281089782714844,consistency check
u_hat  direct = prox J_theta,27.094874016663407,0.7112681742743188,46.9335735425951,0.9981990387080498,0.859557352130972,0.08871912956237793,recovered prior's prox IS the denoiser
