method,PSNR vs clean (dB),SSIM vs clean,PSNR vs u_PM (dB),SSIM vs u_PM,rel-L2 vs u_PM (%),time (s),note
noisy input,22.49863929645887,0.4110111964775004,,,,0.0,sigma = 0.0781
u_PM  (MCMC sampler),27.322467619173224,0.7150943242458215,,,,0.0033102035522460938,"ground truth, m=8000"
"u_theta = grad psi  [LPN, both routes]",26.920071854236184,0.7041399183638252,41.764940182103594,0.9945096003575429,1.5584989979777946,0.017714977264404297,"1 forward pass, no inversion"
"prox of J_2, LPN (Ours)  [check]",26.834464687641102,0.7012758877742461,39.500378792724945,0.9935548331112528,2.0227145424069546,0.9519627094268799,"consistency check, not a denoiser"
u_hat  direct = prox J_theta,27.094874016663407,0.7112681742743188,46.9335735425951,0.9981990387080498,0.859557352130972,0.11348915100097656,recovered prior's prox IS the denoiser
